transaction_id,sender,receiver,amount,timestamp,is_suspicious
T0004292,A01939,A00561,675.83,2026-01-01 00:01:00,0
T0020771,A01431,A00506,22202.41,2026-01-01 00:06:00,0
T0006372,A01017,A01700,9126.11,2026-01-01 00:07:00,0
T0023806,A01943,A00401,1721.03,2026-01-01 00:10:00,0
T0017649,A01217,A00826,4067.72,2026-01-01 00:12:00,0
T0019755,A00600,A01997,1633.28,2026-01-01 00:15:00,0
T0009008,A00514,A01410,4044.65,2026-01-01 00:17:00,0
T0014031,A01076,A01980,4923.88,2026-01-01 00:29:00,0
T0002981,A00973,A01791,10639.76,2026-01-01 00:32:00,0
T0021132,A01130,A00387,5296.63,2026-01-01 00:34:00,0
T0011646,A00238,A01596,9385.89,2026-01-01 00:42:00,0
T0022444,A00619,A01753,24917.37,2026-01-01 00:53:00,0
T0024885,A00886,A00681,2913.8,2026-01-01 00:53:00,0
T0020482,A01278,A01533,1957.93,2026-01-01 00:54:00,0
T0020277,A00983,A00940,1523.1,2026-01-01 00:55:00,0
T0006061,A01473,A00834,6139.18,2026-01-01 00:55:00,0
T0014811,A01515,A00363,5905.38,2026-01-01 00:59:00,0
T0005459,A01234,A00334,2432.17,2026-01-01 01:00:00,0
T0006892,A00123,A00977,858.78,2026-01-01 01:09:00,0
T0001785,A00372,A00083,693.98,2026-01-01 01:10:00,0
T0018115,A00189,A01174,4862.17,2026-01-01 01:11:00,0
T0012546,A00179,A00796,2371.35,2026-01-01 01:13:00,0
T0008246,A00927,A01480,3041.16,2026-01-01 01:14:00,0
T0022984,A00326,A00198,4345.15,2026-01-01 01:24:00,0
T0002405,A00721,A01352,11389.66,2026-01-01 01:24:00,0
T0006480,A01397,A00362,5962.34,2026-01-01 01:25:00,0
T0009834,A00382,A01179,25991.41,2026-01-01 01:26:00,0
T0010330,A01981,A01247,1373.61,2026-01-01 01:28:00,0
T0021210,A00938,A01729,1021.25,2026-01-01 01:28:00,0
T0013822,A01702,A00069,2870.62,2026-01-01 01:30:00,0
T0003572,A01657,A01304,4108.39,2026-01-01 01:34:00,0
T0011987,A00018,A01789,7253.67,2026-01-01 01:41:00,0
T0020591,A01057,A00216,612.67,2026-01-01 01:43:00,0
T0009459,A00468,A01172,2437.14,2026-01-01 01:44:00,0
T0015447,A01188,A01105,407.88,2026-01-01 01:50:00,0
T0010648,A01489,A00447,2073.81,2026-01-01 01:51:00,0
T0000045,A01337,A01311,1451.21,2026-01-01 01:53:00,0
T0020069,A01149,A01817,1236.56,2026-01-01 01:54:00,0
T0010084,A01984,A01822,5426.72,2026-01-01 01:59:00,0
T0007220,A01536,A00273,9015.59,2026-01-01 02:05:00,0
T0013555,A01823,A01496,1963.03,2026-01-01 02:07:00,0
T0016742,A00285,A01045,3091.09,2026-01-01 02:07:00,0
T0000994,A00925,A00085,1094.86,2026-01-01 02:11:00,0
T0017421,A00188,A00525,2146.16,2026-01-01 02:12:00,0
T0006397,A00761,A01996,824.2,2026-01-01 02:14:00,0
T0022144,A00121,A00766,3327.94,2026-01-01 02:20:00,0
T0024603,A01699,A00926,8001.03,2026-01-01 02:32:00,0
T0013422,A01573,A01468,1597.44,2026-01-01 02:32:00,0
T0012321,A01751,A00473,6791.02,2026-01-01 02:38:00,0
T0022463,A00668,A01636,730.88,2026-01-01 02:38:00,0
T0012252,A00737,A00499,31835.41,2026-01-01 02:45:00,0
T0014129,A00178,A00720,411.86,2026-01-01 02:51:00,0
T0014767,A00234,A01885,21703.45,2026-01-01 03:03:00,0
T0001841,A01094,A00237,454.02,2026-01-01 03:03:00,0
T0015316,A00282,A00776,13497.86,2026-01-01 03:05:00,0
T0020862,A01492,A00027,1293.99,2026-01-01 03:08:00,0
T0023800,A01304,A00023,2448.47,2026-01-01 03:09:00,0
T0007815,A01848,A00673,3468.26,2026-01-01 03:15:00,0
T0022966,A00336,A00649,2829.73,2026-01-01 03:16:00,0
T0007152,A01861,A00399,1240.54,2026-01-01 03:17:00,0
T0017549,A00021,A00222,1055.22,2026-01-01 03:17:00,0
T0010944,A01328,A00426,7463.44,2026-01-01 03:21:00,0
T0003136,A01026,A01685,7719.85,2026-01-01 03:28:00,0
